# Absorption coefficients
# HITRAN. Molecule CO2. Isotopologue(s): 636.
# Wavenumber range: 2200-2500 cm-1, T: 296 K, P: 1 atm, step: 0.01002 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://hitran.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

 2204.139480    4.2263463571E-05    1.7046036674E-24
 2204.149500    4.4720330808E-05    1.8036959933E-24
 2204.159520    4.7863901000E-05    1.9304849695E-24
 2204.169540    5.1788664362E-05    2.0887816507E-24
 2204.179560    5.6610546992E-05    2.2832616607E-24
 2204.189580    6.2466561709E-05    2.5194511094E-24
 2204.199600    6.9507048806E-05    2.8034136414E-24
 2204.209620    7.7878658067E-05    3.1410640525E-24
 2204.219640    8.7692530034E-05    3.5368849515E-24
 2204.229660    9.8971409296E-05    3.9917936914E-24
 2204.239680    1.1157288471E-04    4.5000464323E-24
 2204.249700    1.2508005166E-04    5.0448282458E-24
 2204.259720    1.3898320914E-04    5.6055814643E-24
 2204.269740    1.5130707776E-04    6.1026375472E-24
 2204.279760    1.6055477709E-04    6.4756231204E-24
 2204.289780    1.6487990445E-04    6.6500676014E-24
 2204.299800    1.6317371521E-04    6.5812522184E-24
 2204.309820    1.5569294145E-04    6.2795316939E-24
 2204.319840    1.4397337695E-04    5.8068488863E-24
 2204.329860    1.3010572887E-04    5.2475278611E-24
 2204.339880    1.1588199054E-04    4.6738447200E-24
 2204.349900    1.0253114801E-04    4.1353679079E-24
 2204.359920    9.0663221148E-05    3.6567012311E-24
 2204.369940    8.0469791244E-05    3.2455716991E-24
 2204.379960    7.1910258353E-05    2.9003418025E-24
 2204.389980    6.4831887018E-05    2.6148512933E-24
 2204.400000    5.9052891881E-05    2.3817682596E-24
 2204.410020    5.4395573620E-05    2.1939255908E-24
 2204.420040    5.0704037929E-05    2.0450356338E-24
 2204.430060    4.7848484516E-05    1.9298631796E-24
 2204.440080    4.5717516221E-05    1.8439152694E-24
 2204.450100    4.4232839001E-05    1.7840340855E-24
 2204.460120    4.3306994500E-05    1.7466921878E-24
 2204.470140    4.2851402909E-05    1.7283169050E-24
 2204.480160    4.2755227323E-05    1.7244378747E-24
 2204.490180    4.2871865678E-05    1.7291422257E-24
 2204.500200    4.3014010488E-05    1.7348753234E-24
 2204.510220    4.2973332780E-05    1.7332346777E-24
 2204.520240    4.2577631896E-05    1.7172749545E-24
 2204.530260    4.1706823455E-05    1.6821528150E-24
 2204.540280    4.0397255521E-05    1.6293342783E-24
 2204.550300    3.8781968437E-05    1.5641852334E-24
 2204.560320    3.7034541330E-05    1.4937066118E-24
 2204.570340    3.5319230929E-05    1.4245233468E-24
